City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Esperance,AU,2022-05-08 08:36:53,-33.8667,121.9,75.04,41,75,6.49
58,Lagos,NG,2022-05-08 08:34:37,6.5833,3.75,84.52,60,21,4.72
59,Garissa,KE,2022-05-08 08:36:54,-0.4536,39.6401,92.05,40,88,22.01
60,Qaanaaq,GL,2022-05-08 08:36:54,77.484,-69.3632,18.95,76,100,5.55
61,Nanortalik,GL,2022-05-08 08:36:55,60.1432,-45.2371,36.64,86,100,3.85
62,Alofi,NU,2022-05-08 08:36:55,-19.0595,-169.9187,78.69,89,93,5.75
63,San Cristobal,VE,2022-05-08 08:36:56,7.7669,-72.225,64.85,97,96,2.13
64,Olmos,PE,2022-05-08 08:36:56,-5.9847,-79.7453,62.91,82,90,1.43
65,Busselton,AU,2022-05-08 08:36:57,-33.65,115.3333,66.6,69,21,9.35
66,Wellington,NZ,2022-05-08 08:32:54,-41.2866,174.7756,64.06,87,75,19.57
67,Atar,MR,2022-05-08 08:36:57,20.5169,-13.0499,94.26,10,100,7.52
68,Yabelo,ET,2022-05-08 08:36:58,4.8833,38.0833,70.3,60,83,6.42
69,Tifton,US,2022-05-08 08:34:01,31.4505,-83.5085,58.96,89,0,0.0
70,Nuuk,GL,2022-05-08 08:36:58,64.1835,-51.7216,29.01,86,39,11.5
71,Saint-Philippe,RE,2022-05-08 08:36:59,-21.3585,55.7679,81.99,81,52,11.25
72,Narsaq,GL,2022-05-08 08:36:59,60.9167,-46.05,50.22,65,100,4.52
73,Khatanga,RU,2022-05-08 08:37:00,71.9667,102.5,20.95,87,29,13.71
74,Faanui,PF,2022-05-08 08:37:00,-16.4833,-151.75,82.11,74,19,8.99
75,Hermanus,ZA,2022-05-08 08:37:01,-34.4187,19.2345,60.8,67,100,8.05
76,Swidwin,PL,2022-05-08 08:37:01,53.7746,15.7767,58.14,100,11,9.6
77,Hambantota,LK,2022-05-08 08:37:02,6.1241,81.1185,91.74,70,75,16.11
78,Kapaa,US,2022-05-08 08:33:02,22.0752,-159.319,75.52,83,75,16.11
79,Salta,AR,2022-05-08 08:34:32,-24.7859,-65.4117,56.57,89,75,1.14
80,Mahebourg,MU,2022-05-08 08:37:03,-20.4081,57.7,82.26,74,40,11.5
81,Tuktoyaktuk,CA,2022-05-08 08:37:03,69.4541,-133.0374,31.26,90,100,11.32
82,Namibe,AO,2022-05-08 08:37:04,-15.1961,12.1522,78.06,54,0,4.25
83,New Norfolk,AU,2022-05-08 08:37:04,-42.7826,147.0587,51.89,59,27,1.99
84,Ambilobe,MG,2022-05-08 08:37:05,-13.2,49.05,89.87,48,44,7.23
85,Oksfjord,NO,2022-05-08 08:37:05,70.2396,22.3479,35.67,97,100,11.07
86,Port Alfred,ZA,2022-05-08 08:37:06,-33.5906,26.891,63.18,83,96,11.01
87,Aleksandrovskoye,RU,2022-05-08 08:37:06,44.7142,43.0008,47.73,78,100,5.53
88,Mataundh,IN,2022-05-08 08:37:07,25.45,80.15,109.33,8,0,8.57
89,Priyutnoye,RU,2022-05-08 08:37:07,46.1011,43.5072,54.16,56,100,6.67
90,Yellowknife,CA,2022-05-08 08:37:08,62.456,-114.3525,34.32,86,100,20.71
91,Kjopsvik,NO,2022-05-08 08:37:08,68.097,16.3742,38.17,86,100,10.18
92,Cape Town,ZA,2022-05-08 08:35:02,-33.9258,18.4232,63.12,72,0,6.91
93,Lorengau,PG,2022-05-08 08:38:09,-2.0226,147.2712,84.27,72,54,15.75
94,Puro,PH,2022-05-08 08:38:10,12.4841,123.3827,86.43,66,16,15.9
95,Arraial Do Cabo,BR,2022-05-08 08:35:49,-22.9661,-42.0278,70.5,80,81,4.21
96,Kota Bahru,MY,2022-05-08 08:38:10,6.1333,102.2386,85.98,74,20,7.0
97,Pisco,PE,2022-05-08 08:38:11,-13.7,-76.2167,60.03,94,39,4.61
98,Fortuna,US,2022-05-08 08:38:12,40.5982,-124.1573,47.66,93,100,0.0
99,Ust-Maya,RU,2022-05-08 08:38:12,60.4167,134.5333,44.87,89,100,10.4
100,Ancud,CL,2022-05-08 08:38:13,-41.8697,-73.8203,53.64,92,100,11.95
101,Peace River,CA,2022-05-08 08:37:02,56.2501,-117.286,37.71,88,100,13.8
102,Aktau,KZ,2022-05-08 08:38:13,43.65,51.2,64.98,83,48,10.25
103,Beloha,MG,2022-05-08 08:38:14,-25.1667,45.05,85.06,46,0,4.25
104,Marienburg,PL,2022-05-08 08:38:14,54.0359,19.0266,62.87,51,85,9.26
105,Butaritari,KI,2022-05-08 08:38:15,3.0707,172.7902,81.91,77,70,16.06
