City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Adre,TD,77.61,clear sky,13.4667,22.2,
455,Kotri,PK,79.32,clear sky,25.366,68.3122,Drivers Running Room
460,Bull Savanna,JM,75.74,clear sky,17.8868,-77.5902,Big Red's
463,Jacqueville,CI,80.82,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
464,San Pedro,PH,88.83,few clouds,14.35,121.0167,Esquivel's Garden And Resort
465,Kassala,SD,82.38,clear sky,15.451,36.4,Amassi Hotel Gash
466,Mehrabpur,PK,89.64,clear sky,28.1085,68.0254,
467,Nizwa,OM,80.73,clear sky,22.9333,57.5333,Orient Apartments
469,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
472,Barmer,IN,80.02,clear sky,25.75,71.3833,Jain Dharamshala
473,Bodden Town,KY,84.0,few clouds,19.2833,-81.25,Will T Place
474,Kavaratti,IN,85.6,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
476,Kulhudhuffushi,MV,85.06,overcast clouds,6.6221,73.07,Haajy Guest House 1
477,Puri,IN,81.81,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
478,Raga,SS,75.81,overcast clouds,8.4596,25.678,
480,Loiza,PR,81.07,clear sky,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
482,West Bay,KY,84.07,few clouds,19.3667,-81.4167,Calypso Cove
484,George Town,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
491,Wajir,KE,76.24,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
493,Bushehr,IR,78.89,clear sky,28.9684,50.8385,Yas Hotel
497,Arlit,NE,86.59,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
499,Jalingo,NG,80.67,few clouds,8.8833,11.3667,Debright Motel
500,Sao Jose Da Coroa Grande,BR,76.33,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
502,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
506,Johi,PK,88.92,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
509,Careiro Da Varzea,BR,77.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
511,Tucuma,BR,74.97,overcast clouds,-0.1833,-50.05,
512,Alta Floresta,BR,75.31,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
515,Rosa Zarate,EC,75.7,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
518,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
522,Bethalto,US,73.44,clear sky,38.9092,-90.0407,Town & Country Lakes
523,Aripuana,BR,74.37,overcast clouds,-9.1667,-60.6333,
525,San Nicolas,PH,87.71,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
526,Ciudad Bolivar,VE,81.25,broken clouds,8.1222,-63.5497,Hotel Edi
528,Xuddur,SO,74.68,broken clouds,4.1213,43.8894,Banjanay Hotel
529,Lakki Marwat,PK,88.88,clear sky,32.6079,70.9114,Noor Hotel
535,Gao,ML,85.06,clear sky,16.6362,1.637,
536,San Matias,BO,72.39,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
539,Bonthe,SL,77.65,broken clouds,7.5264,-12.505,Bonthe Holiday Village
542,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
