City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Raudeberg,NO,61.9875,5.1352,47.95,40,100,20.71,overcast clouds
147,Sidrolandia,BR,-20.9319,-54.9614,64.98,52,0,5.57,clear sky
148,Mormugao,IN,15.4,73.8,83.46,79,40,3.44,scattered clouds
149,Oxelosund,SE,58.6706,17.1015,41.38,75,0,5.75,clear sky
150,Yarada,IN,17.65,83.2667,84.52,65,20,13.8,few clouds
151,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,40,1.14,scattered clouds
152,Shelburne,CA,44.0787,-80.2041,59.45,47,7,8.14,clear sky
153,Varna,BG,43.2167,27.9167,45.88,100,38,0.0,fog
154,Selma,US,36.5708,-119.6121,69.73,36,4,22.12,clear sky
155,Rio Grande,BR,-32.035,-52.0986,58.95,86,0,9.71,clear sky
156,Port Hawkesbury,CA,45.6169,-61.3485,38.8,62,0,4.61,clear sky
157,Hammerfest,NO,70.6634,23.6821,34.25,75,100,19.57,overcast clouds
158,Maniitsoq,GL,65.4167,-52.9,27.95,86,34,14.81,scattered clouds
159,Verkhnyaya Inta,RU,65.9811,60.3094,44.76,76,98,12.75,overcast clouds
160,Kudahuvadhoo,MV,2.6708,72.8944,83.88,78,100,20.94,moderate rain
161,Esperanza,DO,19.5847,-70.9849,82.98,74,61,1.01,broken clouds
162,Lebu,CL,-37.6167,-73.65,55.76,97,100,2.62,overcast clouds
163,Makat,KZ,47.6469,53.3463,54.79,63,99,10.2,overcast clouds
164,Paracuru,BR,-3.41,-39.0306,81.1,82,98,6.06,overcast clouds
165,Peniche,PT,39.3558,-9.3811,60.08,92,5,10.31,clear sky
166,Male,MV,4.1748,73.5089,85.95,79,75,21.85,broken clouds
167,Cidreira,BR,-30.1811,-50.2056,66.7,78,0,13.09,clear sky
168,Cabedelo,BR,-6.9811,-34.8339,75.87,81,100,14.03,overcast clouds
169,Namibe,AO,-15.1961,12.1522,73.11,59,0,8.9,clear sky
170,Wronki,PL,52.7105,16.3804,48.61,88,6,7.92,clear sky
171,Salinopolis,BR,-0.6136,-47.3561,77.13,89,100,5.75,moderate rain
172,Plattsburgh,US,44.6995,-73.4529,63.36,26,0,10.36,clear sky
173,Skjervoy,NO,70.0311,20.9714,33.8,65,100,23.26,light snow
174,Safranbolu,TR,41.2508,32.6942,43.5,88,5,2.24,clear sky
175,Korla,CN,41.7597,86.1469,67.03,47,0,5.5,clear sky
176,Hearst,CA,49.6835,-83.6665,64.65,34,64,8.32,broken clouds
177,Navlya,RU,52.8281,34.4989,48.34,97,98,7.83,light rain
178,Ndele,CF,8.4109,20.6473,76.57,67,76,4.99,broken clouds
179,Alfreton,GB,53.0961,-1.3883,50.11,88,39,1.01,scattered clouds
180,Thinadhoo,MV,0.5333,72.9333,83.95,77,100,21.07,heavy intensity rain
181,Lidkoping,SE,58.5052,13.1577,37.42,46,19,5.97,few clouds
182,Kamenka,RU,51.3223,42.7678,46.89,53,0,1.41,clear sky
183,Hofn,IS,64.2539,-15.2082,46.38,98,100,11.74,light rain
184,Isla Mujeres,MX,21.2311,-86.731,84.25,85,0,11.83,clear sky
185,Azare,NG,11.6765,10.1948,89.02,40,10,7.83,clear sky
186,Zdvinsk,RU,54.7021,78.661,45.25,64,98,4.05,overcast clouds
187,Leh,IN,34.1667,77.5833,43.57,54,4,4.23,clear sky
188,Constitucion,CL,-35.3333,-72.4167,53.33,94,98,3.85,overcast clouds
189,Liwale,TZ,-9.7667,37.9333,66.79,84,92,4.36,overcast clouds
190,Kalabo,ZM,-14.97,22.6814,65.5,48,67,4.63,broken clouds
191,Gat,IL,31.61,34.7642,64.4,40,5,3.51,clear sky
192,Rio Cuarto,AR,-33.1307,-64.3499,64.17,68,0,4.61,clear sky
193,Castro,BR,-24.7911,-50.0119,51.8,97,2,6.44,clear sky
194,Kalmunai,LK,7.4167,81.8167,80.69,79,97,5.17,overcast clouds
195,Mizan Teferi,ET,6.9833,35.5833,62.85,96,81,2.77,light rain
196,Synya,RU,65.3718,58.0387,43.41,85,82,10.69,broken clouds
197,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,16.11,few clouds
198,Codrington,AU,-38.2667,141.9667,54.86,68,40,5.93,scattered clouds
199,Gamba,GA,-2.65,10.0,76.55,92,13,4.27,few clouds
200,Ginir,ET,7.1333,40.7,58.21,79,29,4.52,scattered clouds
201,Dwarka,IN,22.2394,68.9678,80.98,77,0,15.26,clear sky
202,Masvingo,ZW,-20.0637,30.8277,63.63,57,53,3.13,broken clouds
203,Vallenar,CL,-28.5708,-70.7581,58.35,69,74,1.07,broken clouds
204,Murgab,TM,37.4966,61.9714,66.07,68,100,16.11,overcast clouds
205,Manama,BH,26.2154,50.5832,80.58,46,0,13.8,clear sky
206,Kasongo-Lunda,CD,-6.4667,16.8167,73.11,81,39,1.54,scattered clouds
207,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,1.14,clear sky
208,Virginia Beach,US,36.8529,-75.978,52.0,80,100,18.41,overcast clouds
209,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,9.22,broken clouds
210,Salalah,OM,17.0151,54.0924,82.49,74,20,2.3,few clouds
211,Rabo De Peixe,PT,37.8,-25.5833,62.28,85,20,3.44,few clouds
212,Chatakonda,IN,17.55,80.65,80.89,71,96,5.86,overcast clouds
213,Kendrapara,IN,20.5042,86.416,80.92,82,100,3.11,overcast clouds
214,Port Blair,IN,11.6667,92.75,80.64,89,100,8.05,light rain
215,Laguna,US,38.421,-121.4238,65.14,34,0,19.57,clear sky
216,Jibuti,DJ,11.5,42.5,78.8,67,31,7.18,scattered clouds
217,Odesskoye,RU,54.2111,72.9651,50.72,41,89,4.09,overcast clouds
218,Madinat Sittah Uktubar,EG,29.8167,31.05,69.4,19,3,7.72,clear sky
219,Yenagoa,NG,4.9247,6.2642,76.93,94,100,3.13,overcast clouds
220,Cajamarca,PE,-7.1638,-78.5003,54.07,92,56,2.77,broken clouds
221,Mecca,SA,21.4267,39.8261,81.19,32,0,4.43,clear sky
222,Lumeje,AO,-11.55,20.7833,68.05,62,68,4.5,broken clouds
223,Umm Kaddadah,SD,13.6017,26.6876,81.03,8,91,11.95,overcast clouds
224,Abnub,EG,27.2696,31.1511,82.42,17,75,7.7,broken clouds
225,Porto Novo,BJ,6.4965,2.6036,82.22,87,59,5.99,light rain
226,Itarema,BR,-2.9248,-39.9167,76.91,91,100,7.58,overcast clouds
227,Ghosi,IN,26.1083,83.5436,83.61,50,8,9.15,clear sky
228,Mana,GF,5.6592,-53.7767,77.7,86,37,8.81,scattered clouds
229,Jacareacanga,BR,-6.2222,-57.7528,75.22,92,50,2.08,moderate rain
230,Khromtau,KZ,50.2503,58.4347,45.88,45,91,15.75,overcast clouds
231,Ponta Delgada,PT,37.7333,-25.6667,63.5,82,20,3.44,few clouds
232,Inhambane,MZ,-23.865,35.3833,71.17,81,0,5.32,light rain
233,Jutai,BR,-5.1833,-68.9,74.79,90,92,1.36,overcast clouds
234,Bayaguana,DO,18.7564,-69.6362,79.95,84,18,5.12,few clouds
235,Naraina,IN,26.7833,75.2,83.84,17,1,4.09,clear sky
236,Bondo,CD,3.8146,23.6866,68.81,99,79,3.6,broken clouds
237,Svetlyy,RU,54.675,20.1347,42.85,68,87,9.78,overcast clouds
238,Mount Pleasant,US,32.7941,-79.8626,61.0,68,100,10.36,overcast clouds
239,Alakurtti,RU,66.9672,30.3491,28.47,91,93,3.27,overcast clouds
240,Aksarka,RU,66.5606,67.7975,34.99,100,100,10.13,overcast clouds
241,Paoua,CF,7.2427,16.4406,76.06,66,98,6.17,overcast clouds
242,Hun,LY,29.1268,15.9477,65.57,47,0,6.11,clear sky
243,Amboasary,MG,-25.0333,46.3833,72.77,85,67,2.15,broken clouds
244,Iralaya,HN,15.0,-83.2333,81.3,81,64,8.99,broken clouds
245,Isakly,RU,54.1333,51.5333,46.81,53,83,3.24,broken clouds
246,Muana,BR,-1.5283,-49.2167,73.94,96,99,4.05,moderate rain
247,Cockburn Town,TC,21.4612,-71.1419,80.56,78,40,3.44,scattered clouds
248,Palmas De Monte Alto,BR,-14.2672,-43.1619,69.46,70,75,5.97,broken clouds
249,Corum,TR,40.5,34.75,38.26,91,11,3.8,few clouds
250,Daneti,RO,43.9833,24.05,49.08,72,83,7.07,broken clouds
